code,name,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
33,충북 충주시,1.0169 ,-0.1900 ,1.0369 ,-0.0443 ,0.9957 ,-0.0301 ,0.1173 ,0.1796 ,0.3663 ,-0.0724 
33,충북 청주시,0.9961 ,-0.3363 ,1.0701 ,-1.2910 ,0.9957 ,-0.0236 ,0.0733 ,0.0498 ,0.1366 ,-0.0078 
33,충북 청원군,1.0065 ,-0.1495 ,0.9991 ,-0.1694 ,0.9972 ,0.0251 ,0.1386 ,0.1134 ,-0.1469 ,0.0530 
33,충북 진천군,0.9835 ,-0.4067 ,1.0925 ,-0.1441 ,0.9990 ,-0.0229 ,0.2194 ,0.1114 ,0.1605 ,-0.0198 
33,충북 증평군,1.0390 ,-0.1713 ,1.0888 ,-0.1107 ,0.9961 ,0.0353 ,0.2396 ,0.1233 ,-0.0643 ,-0.3893 
33,충북 제천시,1.0057 ,-0.2501 ,1.0937 ,-0.2721 ,0.9971 ,0.0018 ,0.0999 ,0.0785 ,-0.4677 ,-0.0538 
33,충북 음성군,0.9966 ,-0.5198 ,1.0840 ,-0.0335 ,1.0000 ,-0.0047 ,0.3316 ,0.0373 ,-1.0185 ,0.1541 
33,충북 옥천군,1.0093 ,-0.1933 ,1.1051 ,-0.1388 ,0.9949 ,0.0096 ,0.3364 ,0.1792 ,-0.1541 ,-0.0234 
33,충북 영동군,1.0160 ,-0.0341 ,1.0631 ,-0.0991 ,0.9925 ,0.0154 ,0.1058 ,0.1117 ,-0.2050 ,0.0253 
33,충북 보은군,0.8992 ,-1.1538 ,1.1156 ,-0.1068 ,1.0000 ,-0.0214 ,0.2425 ,0.1188 ,-0.1281 ,-0.1504 
33,충북 단양군,0.9777 ,-0.5044 ,1.1391 ,-0.0297 ,0.9973 ,0.0117 ,0.4184 ,0.0669 ,-0.3683 ,-0.2537 
33,충북 괴산군,0.9969 ,-0.2001 ,1.0908 ,-0.0168 ,0.9948 ,0.0123 ,0.2214 ,0.1143 ,-0.1829 ,-0.0603 
34,충남 홍성군,1.0340 ,-0.2141 ,0.9989 ,-0.2151 ,0.9937 ,0.0881 ,0.1497 ,0.1864 ,-0.1732 ,0.0117 
34,충남 태안군,1.0260 ,-0.2837 ,1.1086 ,-0.3270 ,0.9934 ,0.0340 ,0.1064 ,0.1318 ,-0.3269 ,-0.2229 
34,충남 청양군,0.9676 ,-0.4031 ,1.0938 ,0.1086 ,0.9934 ,-0.0100 ,0.2139 ,0.0807 ,-0.5034 ,-0.2371 
34,충남 천안시,0.9936 ,-0.3669 ,1.0493 ,-0.1639 ,0.9960 ,0.0652 ,-0.0051 ,0.0888 ,-0.2873 ,0.0152 
34,충남 예산군,1.0134 ,-0.4190 ,1.0472 ,-0.4338 ,0.9936 ,-0.0022 ,0.2627 ,0.0307 ,-0.5264 ,0.2613 
34,충남 아산시,1.0115 ,-0.1929 ,1.1533 ,-0.1892 ,0.9973 ,0.0127 ,0.1046 ,0.1905 ,-0.2363 ,0.0827 
34,충남 서천군,1.0002 ,-0.1211 ,1.0955 ,-0.3580 ,0.9922 ,0.0762 ,0.1262 ,0.0632 ,-0.0045 ,0.0164 
34,충남 서산시,0.9929 ,-0.2468 ,1.0534 ,-0.2489 ,0.9961 ,0.0567 ,0.0560 ,0.0752 ,-0.0159 ,-0.1008 
34,충남 부여군,0.9942 ,-0.2107 ,1.1208 ,-0.0588 ,0.9922 ,0.0185 ,0.3342 ,0.1124 ,0.0594 ,0.0266 
34,충남 보령시,1.0113 ,-0.1612 ,1.0608 ,-0.1022 ,0.9975 ,0.0425 ,0.0597 ,0.2031 ,0.1420 ,0.1033 
34,충남 당진시,1.0043 ,-0.3073 ,1.0286 ,-0.0547 ,0.9965 ,0.0221 ,0.0781 ,0.0436 ,0.1051 ,0.0221 
34,충남 논산시,1.0129 ,-0.0328 ,1.0624 ,0.0956 ,0.9929 ,0.0291 ,0.3477 ,0.1100 ,-0.0404 ,-0.0919 
34,충남 금산군,0.9811 ,-0.5926 ,1.0798 ,-0.1994 ,0.9945 ,0.0177 ,0.4428 ,0.2153 ,-0.1205 ,0.0222 
34,충남 공주시,1.0099 ,-0.1290 ,1.1058 ,-0.1769 ,0.9943 ,0.0426 ,0.1390 ,0.1694 ,-0.2081 ,-0.0550 
34,충남 계룡시,1.0112 ,-0.0270 ,1.1829 ,-0.0653 ,0.9935 ,0.0077 ,0.2010 ,0.0764 ,-0.1102 ,-0.0490 
35,전북 진안군,1.0108 ,-0.1663 ,1.1722 ,-0.4823 ,0.9891 ,0.0610 ,0.1521 ,0.0394 ,0.0042 ,-0.0618 
35,전북 정읍시,1.0073 ,-0.1446 ,1.1029 ,-0.1536 ,0.9982 ,0.0655 ,0.1309 ,0.0853 ,0.0010 ,-0.0839 
35,전북 전주시,1.0083 ,-0.3816 ,1.0956 ,-0.1015 ,0.9946 ,0.0899 ,0.0870 ,0.2057 ,0.1183 ,0.0294 
35,전북 장수군,0.9904 ,-0.7647 ,1.0288 ,-2.7750 ,0.9889 ,0.0819 ,0.0296 ,0.1228 ,0.1106 ,0.1038 
35,전북 임실군,0.9607 ,-0.5431 ,1.1276 ,0.3000 ,0.9913 ,0.0377 ,0.0766 ,0.0836 ,-0.0247 ,-0.1429 
35,전북 익산시,1.0128 ,-0.2738 ,1.0634 ,-0.0658 ,0.9932 ,0.0668 ,0.0463 ,0.0427 ,0.2570 ,0.0107 
35,전북 완주군,0.9960 ,-0.3114 ,1.0758 ,-0.0294 ,0.9968 ,0.0129 ,0.0049 ,0.0656 ,0.0193 ,-0.2506 
35,전북 순창군,0.9985 ,-0.2306 ,1.1404 ,-0.6227 ,0.9896 ,0.0234 ,0.1956 ,0.0361 ,-0.1713 ,0.0456 
35,전북 부안군,1.0078 ,-0.4175 ,1.1725 ,-0.2235 ,0.9886 ,0.0103 ,0.1397 ,0.0290 ,0.2475 ,0.0677 
35,전북 무주군,0.9920 ,-0.3570 ,1.1116 ,-0.0864 ,0.9914 ,0.0882 ,-0.6824 ,0.0304 ,-0.2967 ,-0.0879 
35,전북 남원시,1.0006 ,-0.2329 ,1.0998 ,-0.0794 ,0.9913 ,0.0574 ,0.0875 ,0.1190 ,0.0107 ,0.2171 
35,전북 김제시,1.0086 ,-0.2710 ,1.1027 ,-0.1018 ,0.9921 ,0.0357 ,0.0230 ,0.0641 ,0.1248 ,0.2946 
35,전북 군산시,0.9989 ,-0.2273 ,1.0519 ,-0.0474 ,0.9952 ,0.0012 ,0.1722 ,0.0850 ,0.2821 ,-0.0163 
35,전북 고창군,0.9970 ,-0.2958 ,1.1025 ,-0.0876 ,0.9891 ,0.0377 ,0.1747 ,0.1127 ,-0.0766 ,-0.0628 
36,전남 화순군,0.9937 ,-0.2248 ,1.1513 ,-0.1715 ,0.9971 ,0.0351 ,0.0630 ,0.1688 ,-0.6531 ,0.0502 
36,전남 해남군,1.0143 ,-0.1011 ,1.0875 ,-0.1589 ,0.9922 ,0.0706 ,0.0725 ,0.1473 ,-0.1749 ,0.0660 
36,전남 함평군,0.9010 ,-1.1996 ,1.1178 ,-0.0228 ,0.9921 ,0.0247 ,0.0703 ,0.0039 ,-0.6218 ,-0.1643 
36,전남 진도군,1.0031 ,-0.1359 ,1.0742 ,-0.1414 ,0.9912 ,0.0457 ,0.2018 ,0.2972 ,-0.2985 ,-0.1534 
36,전남 장흥군,1.0190 ,-0.1248 ,1.2260 ,-0.3514 ,0.9924 ,0.0327 ,0.1023 ,0.0184 ,0.0264 ,-0.2555 
36,전남 장성군,0.9927 ,-0.3995 ,1.0346 ,-3.8556 ,0.9942 ,0.0607 ,0.2405 ,0.1046 ,-0.0709 ,-0.0817 
36,전남 완도군,1.0050 ,-0.5920 ,1.0535 ,-0.2695 ,0.9907 ,-0.0110 ,0.1423 ,0.0696 ,-0.1312 ,-0.1446 
36,전남 영암군,0.9957 ,-0.5079 ,1.0453 ,-0.6611 ,0.9973 ,0.0284 ,0.0468 ,0.0973 ,-0.1851 ,0.0601 
36,전남 영광군,1.0104 ,-0.4280 ,0.9565 ,-0.0979 ,0.9937 ,0.0152 ,0.0000 ,0.0173 ,-0.0081 ,0.1111 
36,전남 여수시,0.9972 ,-0.1361 ,1.0990 ,-0.7169 ,0.9975 ,0.0018 ,0.0830 ,0.0945 ,-0.8447 ,-0.1454 
36,전남 신안군,1.0117 ,-0.2169 ,1.0758 ,-0.2999 ,0.9902 ,0.0968 ,0.0989 ,0.1513 ,-0.1311 ,-0.2627 
36,전남 순천시,1.0203 ,-0.0235 ,1.1198 ,-0.2310 ,0.9960 ,0.0374 ,0.0466 ,0.0753 ,-0.0266 ,-0.2522 
36,전남 보성군,1.0104 ,-0.1139 ,1.1648 ,-0.0980 ,0.9912 ,0.0257 ,0.1179 ,0.0181 ,0.0191 ,-0.0311 
36,전남 무안군,1.0019 ,-0.2378 ,1.1400 ,-0.2063 ,0.9934 ,0.0332 ,0.0492 ,0.0101 ,-0.4301 ,-0.0691 
36,전남 목포시,1.0106 ,-0.0795 ,1.0470 ,-0.1153 ,0.9941 ,0.0075 ,0.0982 ,0.1044 ,0.1241 ,-0.1632 
36,전남 담양군,0.9920 ,-0.2957 ,1.0525 ,-0.5224 ,0.9939 ,0.0046 ,0.0708 ,0.1235 ,-0.0232 ,0.0218 
36,전남 나주시,1.0014 ,-0.2165 ,1.0880 ,-0.0129 ,0.9950 ,0.0758 ,0.2351 ,0.2053 ,-0.1792 ,0.1823 
36,전남 구례군,1.0078 ,-0.2002 ,1.0246 ,-0.9035 ,0.9931 ,0.0634 ,0.0786 ,0.0362 ,0.1763 ,-0.0825 
36,전남 광양시,0.9993 ,-0.1980 ,1.0107 ,-0.1400 ,0.9980 ,0.0009 ,0.0451 ,0.0378 ,0.5691 ,0.0736 
36,전남 곡성군,1.0031 ,-0.1665 ,1.3973 ,0.0073 ,0.9945 ,0.0407 ,0.0669 ,0.0095 ,-0.0285 ,-0.2418 
36,전남 고흥군,1.0021 ,-0.0985 ,1.1197 ,-0.1281 ,0.9905 ,0.0844 ,0.1580 ,0.0308 ,0.1199 ,0.0190 
36,전남 강진군,0.9979 ,-0.5834 ,1.0915 ,-0.3681 ,0.9938 ,0.0067 ,0.0423 ,0.0792 ,0.1864 ,0.0124 
23,인천 중구,1.0005 ,-0.3919 ,0.9980 ,-0.1756 ,0.9972 ,0.0311 ,0.1404 ,0.0741 ,-0.4246 ,-0.2371 
23,인천 옹진군,1.0164 ,-0.1457 ,1.2426 ,-0.0074 ,0.9952 ,0.0475 ,0.2178 ,0.1571 ,0.2621 ,-0.1025 
23,인천 연수구,1.0036 ,-0.0698 ,1.0427 ,-0.0031 ,0.9935 ,0.0024 ,0.1078 ,0.1013 ,-0.2612 ,-0.0647 
23,인천 서구,0.9995 ,-0.3508 ,1.0541 ,-0.0673 ,0.9930 ,-0.0218 ,0.2490 ,0.2023 ,0.3118 ,-0.0427 
23,인천 부평구,1.0047 ,-0.1010 ,1.0465 ,-0.0505 ,0.9853 ,0.0035 ,0.1635 ,0.2826 ,-0.0794 ,0.0231 
23,인천 동구,1.0052 ,0.1210 ,1.0238 ,-0.0207 ,0.9913 ,0.0282 ,0.3463 ,0.1436 ,-0.0217 ,-0.2293 
23,인천 남동구,0.9972 ,-0.3508 ,1.0605 ,-0.1043 ,0.9903 ,0.0235 ,-0.2870 ,0.1551 ,-0.1741 ,-0.1682 
23,인천 남구,1.0041 ,-0.2151 ,1.0274 ,-0.0420 ,0.9848 ,0.0240 ,0.2619 ,0.2486 ,0.0933 ,-0.0261 
23,인천 계양구,0.9971 ,-0.3515 ,1.0675 ,-0.0404 ,0.9837 ,-0.0066 ,0.1101 ,0.0728 ,-0.1721 ,0.0509 
23,인천 강화군,1.0069 ,-0.4000 ,1.0728 ,0.0092 ,0.9931 ,0.0125 ,0.0716 ,0.1175 ,-0.0648 ,-0.0154 
26,울산 중구,0.9995 ,-0.4336 ,0.9899 ,-0.0658 ,0.9791 ,0.1202 ,0.0641 ,0.0687 ,-0.1196 ,-0.4190 
26,울산 울주군,1.0037 ,-0.1015 ,1.0650 ,-0.0840 ,0.9974 ,0.0991 ,0.1002 ,0.0336 ,-0.0442 ,0.0738 
26,울산 북구,1.0046 ,-0.2573 ,1.0559 ,-0.0608 ,0.9927 ,0.0208 ,0.1490 ,0.0256 ,-0.0447 ,0.0239 
26,울산 동구,1.0010 ,-0.1135 ,1.1086 ,-0.2001 ,0.9902 ,0.0700 ,0.0571 ,0.0289 ,0.2089 ,0.633
26,울산 남구,1.0012 ,-0.1928 ,1.0558 ,-0.0616 ,0.9911 ,0.0638 ,0.0452 ,0.0600 ,0.1111 ,0.0898 
11,서울 중랑구,0.9976 ,-0.3304 ,1.0342 ,-0.1037 ,0.9736 ,0.0754 ,0.0987 ,0.4921 ,-0.2935 ,-0.0197 
11,서울 중구,1.0001 ,-0.3038 ,0.9486 ,-0.1425 ,0.9977 ,0.0745 ,0.2218 ,0.4471 ,0.1083 ,-0.2199 
11,서울 종로구,1.0019 ,-0.2917 ,1.0018 ,-0.0291 ,0.9961 ,0.1014 ,0.0744 ,0.4358 ,-0.0616 ,-3.4860 
11,서울 은평구,0.9922 ,-0.5800 ,1.0397 ,-0.1089 ,0.9766 ,0.0675 ,0.0506 ,0.4201 ,0.2102 ,-0.0594 
11,서울 용산구,0.9317 ,-2.1388 ,0.9887 ,-0.1144 ,0.9942 ,0.1354 ,0.0938 ,0.3818 ,0.1979 ,-0.0137 
11,서울 영등포구,1.0023 ,-0.2163 ,0.9837 ,-0.1531 ,0.9914 ,0.0923 ,0.1013 ,0.4134 ,0.1330 ,-0.1091 
11,서울 양천구,0.9930 ,-0.5456 ,1.0450 ,-0.1745 ,0.9848 ,0.1420 ,0.0740 ,0.5187 ,0.1934 ,-0.0423 
11,서울 송파구,0.9980 ,-0.1751 ,1.0224 ,-0.1655 ,0.9925 ,0.1259 ,0.0995 ,0.2466 ,-0.1404 ,-0.3021 
11,서울 성북구,0.9983 ,-0.3788 ,1.0121 ,0.0085 ,0.9800 ,0.1018 ,0.1595 ,0.2304 ,0.0497 ,-0.0676 
11,서울 성동구,1.0016 ,-0.2933 ,1.0799 ,0.0388 ,0.9888 ,0.0900 ,0.0745 ,0.4182 ,0.1557 ,-0.2073 
11,서울 서초구,1.0001 ,-0.2536 ,1.0390 ,-0.0980 ,0.9960 ,0.1526 ,0.0545 ,0.5143 ,-0.0448 ,-0.5994 
11,서울 서대문구,1.0044 ,-0.3554 ,1.0412 ,-0.1035 ,0.9838 ,0.0977 ,0.1398 ,0.4631 ,-0.1918 ,-0.0840 
11,서울 마포구,1.0051 ,-0.1012 ,1.0981 ,-0.0878 ,0.9895 ,0.1199 ,0.0701 ,0.3537 ,0.1515 ,-0.0457 
11,서울 동작구,0.9997 ,-1.7309 ,1.0499 ,0.0730 ,0.9830 ,0.1252 ,-0.0114 ,0.4194 ,0.0842 ,-6.6828
11,서울 동대문구,1.0012 ,-0.6011 ,1.0787 ,0.0449 ,0.9845 ,0.0692 ,-0.0209 ,0.3782 ,0.1991 ,0.0018 
11,서울 도봉구,0.9986 ,-0.2569 ,1.0660 ,-0.1238 ,0.9750 ,0.0858 ,0.0643 ,0.4410 ,-0.1230 ,-0.1542 
11,서울 노원구,1.0016 ,-0.1748 ,1.0960 ,-0.1617 ,0.9765 ,0.0682 ,0.0937 ,0.3978 ,0.1127 ,-0.1617 
11,서울 금천구,1.0012 ,-0.3416 ,1.0341 ,-0.1057 ,0.9862 ,0.1292 ,0.0342 ,0.5252 ,0.0966 ,-0.0362 
11,서울 구로구,0.9993 ,-0.5034 ,1.0523 ,-0.0575 ,0.9841 ,0.1119 ,0.1117 ,0.4425 ,-0.3227 ,-0.0993 
11,서울 광진구,1.0031 ,-0.3853 ,1.0406 ,0.0835 ,0.9846 ,0.0891 ,0.1809 ,0.4693 ,-0.1187 ,-0.0875 
11,서울 관악구,1.0008 ,-0.2826 ,1.0605 ,-0.1133 ,0.9738 ,0.0986 ,0.1119 ,0.3895 ,0.1013 ,-0.0863 
11,서울 강서구,1.0046 ,-0.2416 ,1.0738 ,-0.0789 ,0.9845 ,0.1277 ,0.0460 ,0.4366 ,-0.0144 ,-0.0905 
11,서울 강북구,0.9997 ,-0.3948 ,1.0634 ,-0.0735 ,0.9739 ,0.1165 ,0.0541 ,0.4451 ,-0.2848 ,-0.0172 
11,서울 강동구,0.9994 ,-0.2603 ,1.0651 ,-0.0716 ,0.9864 ,0.1479 ,0.1074 ,0.4137 ,0.1774 ,-0.0156
11,서울 강남구,0.9998 ,-0.1681 ,0.9811 ,-0.0793 ,0.9971 ,0.1588 ,0.0322 ,0.3726 ,-0.0920 ,-0.0781 
21,부산 해운대구,1.0000 ,-0.2915 ,1.0134 ,-0.1844 ,0.9902 ,0.0456 ,0.2321 ,0.0716 ,-0.5492 ,0.2629 
21,부산 진구,0.9993 ,-0.3369 ,0.9891 ,-0.2581 ,0.9869 ,0.0515 ,0.0713 ,0.1260 ,-0.4270 ,-0.0525 
21,부산 중구,0.9949 ,-0.2594 ,0.9921 ,-0.0873 ,0.9939 ,0.0418 ,0.2751 ,0.1163 ,-0.4576 ,-0.0049 
21,부산 영도구,0.9972 ,-0.3520 ,0.9784 ,-0.0774 ,0.9802 ,0.1026 ,0.1276 ,0.1769 ,-0.0533 ,0.0468 
21,부산 연제구,1.0019 ,-0.2512 ,0.9972 ,-0.1517 ,0.9868 ,0.0576 ,0.6102 ,0.0667 ,0.0305 ,0.2547 
21,부산 수영구,1.0069 ,-0.1248 ,0.9765 ,-0.3698 ,0.9867 ,0.0511 ,0.3235 ,0.2381 ,0.5264 ,0.3905 
21,부산 서구,0.9922 ,-0.2342 ,1.0066 ,-0.1848 ,0.9800 ,0.1225 ,0.2695 ,0.2149 ,-4.1337 ,0.0665 
21,부산 사하구,1.0004 ,-0.4302 ,1.0030 ,-0.0819 ,0.9865 ,0.0550 ,0.2719 ,0.2554 ,-0.2497 ,-0.1920 
21,부산 사상구,1.0023 ,-0.2344 ,0.9771 ,-0.1850 ,0.9893 ,0.0056 ,0.0419 ,0.2386 ,0.0328 ,-0.1599 
